Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0603",53.550000,-73.731250,270.000000,bottom
"C2","10uF","C_0603",51.050000,-79.231250,90.000000,bottom
"C3","0.1uF","C_0603",64.050000,-80.981250,180.000000,bottom
"C4","0.1uF","C_0603",57.800000,-85.981250,180.000000,bottom
"C5","0.1uF","C_0603",60.550000,-73.511580,270.000000,bottom
"D1","1N4148W","DIODE_1206_SawnsProjects",41.199000,-39.600000,90.000000,bottom
"D2","1N4148W","DIODE_1206_SawnsProjects",60.249000,-39.600000,90.000000,bottom
"D3","1N4148W","DIODE_1206_SawnsProjects",79.299000,-39.600000,90.000000,bottom
"D4","1N4148W","DIODE_1206_SawnsProjects",98.349000,-39.600000,90.000000,bottom
"D5","1N4148W","DIODE_1206_SawnsProjects",117.399000,-39.600000,90.000000,bottom
"D6","1N4148W","DIODE_1206_SawnsProjects",136.449000,-39.600000,90.000000,bottom
"D7","1N4148W","DIODE_1206_SawnsProjects",155.499000,-39.600000,90.000000,bottom
"D8","1N4148W","DIODE_1206_SawnsProjects",174.549000,-39.600000,90.000000,bottom
"D9","1N4148W","DIODE_1206_SawnsProjects",193.599000,-39.600000,90.000000,bottom
"D10","1N4148W","DIODE_1206_SawnsProjects",212.649000,-39.600000,90.000000,bottom
"D11","1N4148W","DIODE_1206_SawnsProjects",231.699000,-39.600000,90.000000,bottom
"D12","1N4148W","DIODE_1206_SawnsProjects",250.749000,-39.600000,90.000000,bottom
"D13","1N4148W","DIODE_1206_SawnsProjects",269.799000,-39.600000,90.000000,bottom
"D14","1N4148W","DIODE_1206_SawnsProjects",276.225000,-39.600000,90.000000,bottom
"D15","1N4148W","DIODE_1206_SawnsProjects",307.899000,-39.600000,90.000000,bottom
"D16","1N4148W","DIODE_1206_SawnsProjects",219.075000,-115.800000,90.000000,bottom
"D17","1N4148W","DIODE_1206_SawnsProjects",45.961500,-58.650000,90.000000,bottom
"D18","1N4148W","DIODE_1206_SawnsProjects",69.774000,-58.650000,90.000000,bottom
"D19","1N4148W","DIODE_1206_SawnsProjects",88.824000,-58.650000,90.000000,bottom
